hex_icao,immatriculation,nom,type_appareil,photo_url,photo_page,photo_credit
39c672,F-HRTS,Super Puma F-HRTS,AS32,https://t.plnspttrs.net/08862/1895907_94766796a0_280.jpg,https://www.planespotters.net/photo/1895907/f-hrts-airtelis-airbus-helicopters-h215?utm_source=api,Romain ROUX
4b7fa7,T-312,Super Puma T-312,AS32,https://t.plnspttrs.net/06347/1338593_e45e7c23c8_280.jpg,https://www.planespotters.net/photo/1338593/t-312-schweizer-luftwaffe-swiss-air-force-eurocopter-th89-super-puma-as-332m1?utm_source=api,Radim Koblížka
4b7fa2,T-317,Super Puma T-317,AS32,https://t.plnspttrs.net/22859/1718951_2501c4ff28_280.jpg,https://www.planespotters.net/photo/1718951/t-317-schweizer-luftwaffe-swiss-air-force-aerospatiale-th89-super-puma-as-332m1?utm_source=api,Dmitry Petrochenko
ac82ec,AC82EC,Surveillance (hex N905NA),?,,,
4ab50e,SE-MHN,TGT42,AT8T,https://t.plnspttrs.net/29911/1886648_fd98662c03_280.jpg,https://www.planespotters.net/photo/1886648/se-mhn-saab-nyge-aero-air-tractor-at-802f-fire-boss?utm_source=api,Michał Furmańczak
4ab50f,SE-MHO,TGT43,AT8T,https://t.plnspttrs.net/30885/1666367_306163399e_280.jpg,https://www.planespotters.net/photo/1666367/se-mho-saab-nyge-aero-air-tractor-at-802a?utm_source=api,William Wallin
7caeb4,VH-8SM,TRACTA,AT8T,https://t.plnspttrs.net/46698/1780422_4816218aa9_280.jpg,https://www.planespotters.net/photo/1780422/vh-8sm-aerotech-australasia-air-tractor-at-802?utm_source=api,Cameron
348650,348650,TRACTC,?,,,
7c49bc,VH-OUM,TRACTORB,AT8T,https://t.plnspttrs.net/35166/1666516_13b9c1619f_280.jpg,https://www.planespotters.net/photo/1666516/vh-oum-aerotech-australasia-air-tractor-at-802a?utm_source=api,Sierra Mike
3464d9,EC-NKY,Tract EC-NKY,AT8T,,,
4d0129,4D0129,Tract LX-2,AT8T,,,
4d0123,LX-AFC,Tract LX-AFC,AT8T,https://t.plnspttrs.net/26270/1938245_f7aefb4383_280.jpg,https://www.planespotters.net/photo/1938245/lx-afc-aquarius-aerial-firefighting-air-tractor-at-802af?utm_source=api,Markus Pichler
00a113,ZS-MNA,Tract ZS-MNA,AT8T,,,
